"","ref","company_manufacturer","company_location","review_date","country_of_bean_origin","specific_bean_origin_or_bar_name","cocoa_percent","ingredients","most_memorable_characteristics","rating"
"69",1728,"Altus aka Cao Artisan","U.S.A.",2016,"Nicaragua","Momotombo","60%","3- B,S,C","powdery, sweet, molasses",2.75
"70",1732,"Altus aka Cao Artisan","U.S.A.",2016,"Ecuador","Gruppo Salinas","60%","3- B,S,C","sandy, nutty, earthy, roasty",2.75
"71",1728,"Altus aka Cao Artisan","U.S.A.",2016,"Peru","Acopagro","60%","3- B,S,C","dry, sweet, caramel",3
"72",2044,"Altus aka Cao Artisan","U.S.A.",2018,"Dominican Republic","Oko Caribe","70%","3- B,S,C","sweet, coarse, nutty",3
"73",147,"Amano","U.S.A.",2007,"Venezuela","Cuyagua","70%","4- B,S,C,V","waxy, nutty, mint",3
"74",129,"Amano","U.S.A.",2007,"Madagascar","Madagascar","70%","4- B,S,C,V","spice, nut, cocoa, fruit",3.5
"75",175,"Amano","U.S.A.",2007,"Venezuela","Ocumare","70%","4- B,S,C,V","spicy, strawberry",3.75
"76",304,"Amano","U.S.A.",2008,"Indonesia","Bali, Jembrana","70%","4- B,S,C,V","sticky, nutty, high acidity",2.75
"77",363,"Amano","U.S.A.",2009,"Venezuela","Montanya","70%","4- B,S,C,V","hot spice, roasty",3
"78",544,"Amano","U.S.A.",2010,"Venezuela","Chuao","70%","4- B,S,C,V","woody, red berry, sour",3
"79",470,"Amano","U.S.A.",2010,"Dominican Republic","Dos Rios","70%","4- B,S,C,V","orange, cinamon",3.75
"80",470,"Amano","U.S.A.",2010,"Ecuador","Guayas","70%","4- B,S,C,V","strong spice, intense pepper",4
"81",725,"Amano","U.S.A.",2011,"Papua New Guinea","Morobe","70%","4- B,S,C,V","tart, lemon, smoke",4
"82",327,"Amatller (Simon Coll)","Spain",2009,"Ecuador","Ecuador","70%","2- B,S","waxy mouthfeel, spicy",2.75
"83",464,"Amatller (Simon Coll)","Spain",2009,"Ecuador","Ecuador","85%","2- B,S","fatty, mushroom, off notes",2.75
"84",322,"Amatller (Simon Coll)","Spain",2009,"Ghana","Ghana","70%","2- B,S","dry, chalky, fudge-like",3
"85",464,"Amatller (Simon Coll)","Spain",2009,"Ghana","Ghana","85%","2- B,S","roasty,oddly sweet,marshmallow",3
"86",1964,"Amazing Cacao","Russia",2017,"Peru","Maranon","70%",NA,"raisins, pungent",3
"87",1964,"Amazing Cacao","Russia",2017,"Peru","Platan Bajo","70%",NA,"few grits, blackcherry, licorice",3.5
"88",1145,"Amazona","Peru",2013,"Peru","LamasdelChanka, San Martin, Oro Verde coop","72%","3- B,S,C","oily, vanilla, melon, cocoa",3.25
"89",1145,"Amazona","Peru",2013,"Peru","Bellavista Gran Pajeten, San Martin","73%","3- B,S,C","oily, vegetal, nutty, cocoa",3.5
"90",1494,"Ambrosia","Canada",2015,"Belize","Belize","64%","4- B,S,C,L","roasty, brownie, nutty",3
"91",1494,"Ambrosia","Canada",2015,"Madagascar","Madagascar","66%","2- B,S","fruity, sour",3.25
"92",1498,"Ambrosia","Canada",2015,"Dominican Republic","Dominican Republic","75%","2- B,S","high roast, high astringnet",3.25
"93",1498,"Ambrosia","Canada",2015,"Papua New Guinea","Papua New Guinea","63%","2- B,S","smokey, savory",3.25
"94",1498,"Ambrosia","Canada",2015,"Venezuela","Venezuela","70%","2- B,S","sandy, roasty, nutty",3.25
"95",1498,"Ambrosia","Canada",2015,"Peru","Peru","68%","2- B,S","rich, sour, mild smoke",3.5
"96",75,"Amedei","Italy",2006,"Blend","Toscano Black","66%","4- B,S,C,V","red wine, rich cocoa, long",3.75
"97",123,"Amedei","Italy",2007,"Ecuador","Ecuador","70%","4- B,S,C,V","creamy, earthy, vegetal",3
"98",123,"Amedei","Italy",2007,"Jamaica","Jamaica","70%","4- B,S,C,V","sandy, woody, spicy",3
"99",123,"Amedei","Italy",2007,"Grenada","Grenada","70%","4- B,S,C,V","fruity with coffee notes",3.5
"100",129,"Amedei","Italy",2007,"Trinidad","Trinidad","70%","4- B,S,C,V","coffee, fruit, woodsy",3.5
"101",170,"Amedei","Italy",2007,"Blend","Toscano Black","63%","4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5
"102",123,"Amedei","Italy",2007,"Venezuela","Venezuela","70%","4- B,S,C,V","creamy, fruit, cocoa",3.75
"103",979,"Amedei","Italy",2012,"Peru","Piura, Blanco de Criollo","70%","4- B,S,C,V","creamy, raspberry, nutty",3.75
"104",2088,"Amedei","Italy",2018,"Madagascar","Madagascar","70%","4- B,S,C,V","vanilla, mint, roasty",3
"105",2088,"Amedei","Italy",2018,"Venezuela","Chuao","70%","4- B,S,C,V","vanilla, nuts, roasty",3
"106",2092,"Amedei","Italy",2018,"Venezuela","Porcelana","70%","4- B,S,C,V","nutty, mild roasty, vanilla",3
"107",2092,"Amedei","Italy",2018,"Blend","Nine","75%","4- B,S,C,V","sweet, delicate, complex",3.5
"108",2434,"Amedei","Italy",2019,"Blend","Toscano Black","70%","3- B,S,C","nut, fatty, rubbery, rich",2.75
"109",572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations","85%","4- B,S,C,L","creamy, red berry, bitter",2.75
"110",572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations","50%","4- B,S,C,L","very sweet, bright red, banana",3.75
"111",572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations","75%","4- B,S,C,L","roasty, fatty, nutty, coffee",3.75
"112",572,"AMMA","Brazil",2010,"Brazil","Monte Alegre, 3 diff. plantations","60%","4- B,S,C,L","creamy, sweet,cocoa,banana",4
"113",1065,"AMMA","Brazil",2013,"Brazil","Catongo","75%","4- B,S,C,L","grainy, sweet, poor aftertaste",3.25
"114",1259,"Anahata","U.S.A.",2014,"Dominican Republic","Elvesia","75%","2- B,S","chalky, mild fruit, burnt",3
"115",1852,"Animas","U.S.A.",2016,"Bolivia","Alto Beni","75%","2- B,S","light roast, caramel, cocoa",3.5
"116",2586,"Animas","U.S.A.",2021,"Belize","Maya Mountain, batch 39","75%","2- B,S","burnt toast, cherry",3
"117",2586,"Animas","U.S.A.",2021,"Guatemala","Alta Verapaz, Cahabon & Lanquin regions, b. 4243","75%","2- B,S","orange citrus, harsh earthiness",3.25
"118",1379,"Ara","France",2014,"Mexico","Chiapas","72%","3- B,S,C","earthy, sour milk, leather",2.5
"119",1379,"Ara","France",2014,"Ecuador","Equateur","75%","3- B,S,C","bitter, floral, leather",2.75
"120",1375,"Ara","France",2014,"Madagascar","Madagascar","75%","3- B,S,C","sandy, fruity, short",3
"121",1379,"Ara","France",2014,"Venezuela","Trincheras","75%","3- B,S,C","nutty, mild spice, mild earthy",3
"122",1602,"Arete","U.S.A.",2015,"Brazil","Fazenda Camboa","75%","2- B,S","floral, chemical off",2.75
"123",1602,"Arete","U.S.A.",2015,"Guatemala","Guatemala","70%","2- B,S","strawberry, butterscotch, off",3.25
"124",1534,"Arete","U.S.A.",2015,"Brazil","Fazenda Camboa","70%","2- B,S","creamy, rich, rum, roasty",3.5
"125",1534,"Arete","U.S.A.",2015,"Peru","Nacional","68%","2- B,S","floral, nutty, rich cocoa",3.5
"126",1598,"Arete","U.S.A.",2015,"Dominican Republic","Oko Caribe","70%","2- B,S","spicy, brownie, nutty",3.5
"127",1602,"Arete","U.S.A.",2015,"Ecuador","Camino Verde","75%","3- B,S,C","intense, floral, bourbon",3.5
"128",1534,"Arete","U.S.A.",2015,"Ecuador","Puerto Quito, heirloom","70%","2- B,S","spicy, cocoa",3.75
"129",1598,"Arete","U.S.A.",2015,"Belize","Maya Mountain","70%","2- B,S","floral, strawberry, metallic",3.75
"130",1598,"Arete","U.S.A.",2015,"Nicaragua","Chuno","70%","2- B,S","creamy,sticky, peanut butter",4
"131",1904,"Arete","U.S.A.",2016,"Ecuador","Hacienda Victoria","70%","3- B,S,C","sticky, floral, roasty",3.25
"132",1904,"Arete","U.S.A.",2016,"Ecuador","Costa Esmeraldas","70%","3- B,S,C","chewy, mild floral",3.25
"133",1928,"Arete","U.S.A.",2016,"Fiji","Matasawalevu","70%","2- B,S","smoke, hammy, cocoa base",3.25
"134",1928,"Arete","U.S.A.",2016,"Vietnam","Lam Dong","73%","2- B,S","earthy, nutty, cardboard",3.25
"135",1724,"Arete","U.S.A.",2016,"Trinidad","San Juan","70%","2- B,S","delicate, simple",3.5
"136",1900,"Arete","U.S.A.",2016,"Vietnam","Tien Giang","73%","3- B,S,C","cashew, roasty, chunky melt",3.5
"137",1904,"Arete","U.S.A.",2016,"Guatemala","Lachua","70%","2- B,S","subtle, mysterious",3.5
"138",1908,"Arete","U.S.A.",2016,"Honduras","La Masica, FHIA","70%","2- B,S","nutty, green",3.5
"139",1724,"Arete","U.S.A.",2016,"Tanzania","Kokoa Kamili","70%","2- B,S","appealing smoke, woody",3.75
"140",1904,"Arete","U.S.A.",2016,"Nicaragua","Rugoso","70%","3- B,S,C","muddy, rich cocoa, raspberry",3.75
"141",1928,"Arete","U.S.A.",2016,"Dominican Republic","Elvesia","70%","2- B,S","dark berry, chocolatey",3.75
"142",1908,"Arete","U.S.A.",2016,"Costa Rica","Coto Brus, Terciopelo","70%","2- B,S","balanced, cherry, choco",4
"143",1924,"Arete","U.S.A.",2016,"Peru","Phantom","70%","2- B,S","creamy, complex, balanced",4
"144",2020,"Arete","U.S.A.",2017,"India","Anamalai","70%","2- B,S","slight roasty, basic cocoa",3.5
"145",2020,"Arete","U.S.A.",2017,"Madagascar","Sambirano Valley","70%","3- B,S,C","sour fruit",3.5
"146",2020,"Arete","U.S.A.",2017,"Vietnam","Ben Tre","73%","3- B,S,C","rich cocoa, mild roasty",3.5
"147",2028,"Arete","U.S.A.",2017,"Peru","Ucayali","70%","3- B,S,C","dried fruit, fig, anise",3.5
"148",2024,"Arete","U.S.A.",2017,"Bolivia","Beniano","70%","2- B,S","creamy, bright fruit",4
"149",2028,"Arete","U.S.A.",2017,"Haiti","Pisa","70%","2- B,S","long lasting, cocoa",4
"150",2068,"Arete","U.S.A.",2018,"Trinidad","Ramnath E.","70%","2- B,S","nuts, dried fruit, short",3
"151",2254,"Arete","U.S.A.",2018,"Colombia","Tumaco","70%","2- B,S","smooth, nutty, cocoa",4
"152",2450,"Arete","U.S.A.",2019,"India","Idukki","70%","3- B,S,C","burn butterscotch, rubbery",3
"153",2330,"Arete","U.S.A.",2019,"India","Jangareddygudem","70%","3- B,S,C","herbs, mushroom, acidic",3.25
"154",2166,"Argencove","Nicaragua",2018,"Nicaragua","Apoyo","70%","2- B,S","cocoa, earthy, hammy",3
"155",2162,"Argencove","Nicaragua",2018,"Nicaragua","Masaya","70%","2- B,S","melon, late hammy",3.25
"156",2162,"Argencove","Nicaragua",2018,"Nicaragua","Mombacho","70%","2- B,S","smooth, vegetal",3.5
"157",2162,"Argencove","Nicaragua",2018,"Nicaragua","Cocibolca","70%","2- B,S","roasty, rich cocoa",3.5
"158",300,"Artisan du Chocolat","U.K.",2008,"Congo","Congo","72%","3- B,S,C","spicy, minty, vegetal",3.75
"159",363,"Artisan du Chocolat","U.K.",2009,"Brazil","Brazil Rio Doce","72%","3- B,S,C","cocoa, dominate off note",1.75
"160",355,"Artisan du Chocolat","U.K.",2009,"Venezuela","Ocumare, Venezuela","75%","3- B,S,C","oily, nutty, burnt, sour",2.5
"161",355,"Artisan du Chocolat","U.K.",2009,"Indonesia","Java","72%","3- B,S,C","gritty, very smokey, sour",2.75
"162",363,"Artisan du Chocolat","U.K.",2009,"Madagascar","Madagascar","80%","3- B,S,C","sl. bitter, cherry, rich",3
"163",363,"Artisan du Chocolat","U.K.",2009,"Peru","Peru","75%","3- B,S,C","spicey, mild metallic",3
"164",363,"Artisan du Chocolat","U.K.",2009,"Dominican Republic","Dominican Republic","72%","3- B,S,C","spice, cocoa, short",3.25
"165",486,"Artisan du Chocolat","U.K.",2010,"Venezuela","Venezuela","100%",NA,"very nutty, very bitter",1.75
"166",600,"Artisan du Chocolat","U.K.",2010,"Costa Rica","Costa Rica","72%","3- B,S,C","chewy, grassy, nutty",3.25
"167",600,"Artisan du Chocolat","U.K.",2010,"Vietnam","Ba Ria Vung Tau Province","72%","3- B,S,C","unrefined, distinct spicey",3.25
"168",600,"Artisan du Chocolat","U.K.",2010,"Indonesia","Bali","72%","3- B,S,C","black pepper and banana",3.5
"169",531,"Artisan du Chocolat","U.K.",2010,"Jamaica","Jamaica","72%","3- B,S,C","grassy, black licorice, mint",3.75
"170",745,"Artisan du Chocolat","U.K.",2011,"Panama","Panama","72%","3- B,S,C","blackpepper,chemical,rubber",2.75
"171",729,"Artisan du Chocolat","U.K.",2011,"Haiti","Haiti","72%","3- B,S,C","nuts, butterscotch, brownie",4
"172",947,"Artisan du Chocolat","U.K.",2012,"Colombia","Colombia, Casa Luker","72%","3- B,S,C","marshmallow, roasty, nutty",3.75
"173",1193,"Artisan du Chocolat","U.K.",2013,"Trinidad","Trinidad, Heritage, Limited ed.","72%","3- B,S,C","gritty, nutty",3.25
"174",1181,"Artisan du Chocolat (Casa Luker)","U.K.",2013,"Colombia","Orinoqua Region, Arauca","72%","4- B,S,C,L","creamy, marshmallow, off",2.75
"175",2562,"Aruntam","Italy",2021,"India","Idukki Kerala, lot IN728221","72%","4- B,S,C,L","cinamon, nutmeg, fatty",3.25
"176",2562,"Aruntam","Italy",2021,"Madagascar","Bejofo E., Akesson, lot MA72820","72%","4- B,S,C,L","strawberry, sour",3.25
"177",2566,"Aruntam","Italy",2021,"Tanzania","Kokoa Kamili, lot TZ72199","72%","4- B,S,C,L","caramel, sour milk",3.5
"178",141,"Askinosie","U.S.A.",2007,"Mexico","Xoconusco","75%","2- B,S","leather, black licorice, off",2.5
"179",175,"Askinosie","U.S.A.",2007,"Ecuador","San Jose del Tambo","70%","2- B,S","smooth, astringent, cocoa",3
"180",331,"Askinosie","U.S.A.",2009,"Philippines","Davao","77%","2- B,S","strawberries, mild tart, roasty",3.75
"181",647,"Askinosie","U.S.A.",2011,"Tanzania","Tenende, Uwate","72%","2- B,S","creamy, woody, cocoa",3.75
"182",661,"Askinosie","U.S.A.",2011,"Honduras","Cortes","70%","2- B,S","grapes, woody, roasty",3.75
"183",1780,"Askinosie","U.S.A.",2016,"Tanzania","Mababa","68%","3- B,S,C","creamy, rich, blueberry",3.75
"184",2434,"Atypic","Australia",2019,"Solomon Islands","Solomon Islands","70%","4- B,S,C,L","off aroma,vegetal,honey,sandy",3
"185",2056,"Auro","Philippines",2018,"Philippines","Davao","77%","4- B,S,V,L","sandy, vanilla",2.75
"186",2056,"Auro","Philippines",2018,"Philippines","Paquibao E., 2016","70%","3- B,S,C","waxy, dried fruit",3
"187",2056,"Auro","Philippines",2018,"Philippines","South Cotabato","70%","3- B,S,C","sandy, roasty, nutty",3
"188",2056,"Auro","Philippines",2018,"Philippines","Saloy E., 2016","70%","3- B,S,C","long, bright fruit, sweet, sour",3.5
"189",2672,"Avanaa","Canada",2021,"Colombia","Tumaco","70%","2- B,S","chemical, spice, earthy",2.5
"190",2672,"Avanaa","Canada",2021,"Dominican Republic","Zorzal","70%","2- B,S","intense, sour tart plum, rubber",3
"191",999,"Bahen & Co.","Australia",2012,"Brazil","Bahia","70%","2- B,S","chalky, intense, chemical",2.5
"192",999,"Bahen & Co.","Australia",2012,"Blend","Houseblend","70%","2- B,S","chalky, fragrant, then off",2.5
"193",995,"Bahen & Co.","Australia",2012,"Madagascar","Sambirano","70%","2- B,S","unrefined, flat, grassy",3
"194",1474,"Bahen & Co.","Australia",2015,"Blend","Houseblend","80%","2- B,S","coarse, smokey, metallic",3.25
"195",1474,"Bahen & Co.","Australia",2015,"Papua New Guinea","Papua New Guinea","70%","2- B,S","smoke, ham, papaya",3.5
"196",2146,"Baiani","Brazil",2018,"Brazil","Bahia, Vale Potumujo","70%","2- B,S","bland, sugary, large grits",3
"197",1454,"Bakau","Peru",2015,"Peru","Bambamarca, 2015","70%","3- B,S,C","molasses, caramel, pungent",2.75
"198",1454,"Bakau","Peru",2015,"Peru","Huallabamba, 2015","70%","3- B,S,C","black pepper, cardamom",3.5
"199",2290,"Bankston","U.S.A.",2019,"Belize","Belize","72%","3- B,S,C","gritty, fatty, sour, off",2.5
"200",2294,"Bankston","U.S.A.",2019,"Uganda","Uganda","82%","3- B,S,C","bitter, fatty, mild fruit",2.75
"201",2294,"Bankston","U.S.A.",2019,"Tanzania","Kokoa Kamili","72%","3- B,S,C","base cocoa, mild fruit, roasty",3.25
"202",983,"Bar Au Chocolat","U.S.A.",2012,"Dominican Republic","Duarte Province","70%","2- B,S","complex,black pepper,coffee",3.25
"203",983,"Bar Au Chocolat","U.S.A.",2012,"Mexico","Chiapas","70%","2- B,S","molasses,toffee,coffee grounds",3.5
"204",983,"Bar Au Chocolat","U.S.A.",2012,"Madagascar","Sambirano","70%","2- B,S","raspberry, mild sour",3.75
"205",1295,"Bar Au Chocolat","U.S.A.",2014,"Peru","Maranon Canyon","70%","2- B,S","creamy, rounded, orange",4
"206",1554,"Bar Au Chocolat","U.S.A.",2015,"Brazil","Bahia","70%","2- B,S","intense, smokey, dried fruit",3.5
"207",1980,"Bar Au Chocolat","U.S.A.",2017,"Costa Rica","Turrialba, Cartago P.","72%","2- B,S","slightly dry, cocoa, berry",3.5
"208",1980,"Bar Au Chocolat","U.S.A.",2017,"Trinidad","Montserrat Hills","80%","2- B,S","intense, tangy, alcohol",3.5
"209",955,"Baravelli's","Wales",2012,"Costa Rica","single estate","80%","4- B,S,C,V","gritty, floral, vanilla",2.75
"210",1880,"Batch","U.S.A.",2016,"Ecuador","Ecuador","65%","3- B,S,C","sandy, floral, sweet",3.25
"211",1840,"Batch","U.S.A.",2016,"Dominican Republic","Dominican Republic, Batch 3","65%","3- B,S,C","creamy, sweet, fudgey",3.5
"212",1868,"Batch","U.S.A.",2016,"Brazil","Brazil","70%","3- B,S,C","strawberry, candy flavor",3.75
"213",2374,"Bean","U.K.",2019,"Peru","Peru","70%","4- B,S,C,V","strong vanilla, off notes",2.25
"214",1948,"Beau Cacao","U.K.",2017,"Malaysia","Asajaya E, NW Borneo, b. #132/4500","73%","3- B,S,C","caramel, spice, earthy",3
"215",1948,"Beau Cacao","U.K.",2017,"Malaysia","Serian E., NW Borneo, b. #134/3800","72%","3- B,S,C","smokey, woody, tobacco",3.25
"216",1784,"Beehive","U.S.A.",2016,"Brazil","Brazil, Batch 20316","80%","3- B,S,C","intense, bitter, dry",2.75
